study,trat,rep,Before drying_Clonostachys,After drying_Clonostachys
2,UCBV03,1,35,57
2,UCBV03,1,102,104
2,UCBV03,1,84.5,97
2,UCBV03,1,85.5,23.5
2,UCBV03,1,66.5,95.5
2,UCBV03,2,36.5,32
2,UCBV03,2,123,68
2,UCBV03,2,49.5,145
2,UCBV03,2,76,56
2,UCBV03,2,82.5,62
2,UCBV03,3,20,189
2,UCBV03,3,34,24.5
2,UCBV03,3,34.5,176.5
2,UCBV03,3,21,164.5
2,UCBV03,3,16.5,130.5
2,UCBV05,1,27.5,31
2,UCBV05,1,68.5,69.5
2,UCBV05,1,51.5,116
2,UCBV05,1,47,140
2,UCBV05,1,50.5,125
2,UCBV05,2,18,27.5
2,UCBV05,2,17.5,13
2,UCBV05,2,19.5,78.5
2,UCBV05,2,23,17
2,UCBV05,2,101.5,38
2,UCBV05,3,37.5,122.5
2,UCBV05,3,13.5,106.5
2,UCBV05,3,18,97
2,UCBV05,3,6,190.5
2,UCBV05,3,12,155
2,UCBV06,1,23,13.5
2,UCBV06,1,40,9
2,UCBV06,1,66.5,9
2,UCBV06,1,38,10.5
2,UCBV06,1,43,6.5
2,UCBV06,2,60.5,34
2,UCBV06,2,72.5,18
2,UCBV06,2,55.5,5.5
2,UCBV06,2,85,11.5
2,UCBV06,2,37,3.5
2,UCBV06,3,7,15
2,UCBV06,3,20,11
2,UCBV06,3,12.5,9
2,UCBV06,3,72,10
2,UCBV06,3,23.5,6
2,UCBV07,1,38.5,15
2,UCBV07,1,39,11
2,UCBV07,1,48.5,9
2,UCBV07,1,23,10
2,UCBV07,1,39.5,6
2,UCBV07,2,96,8.5
2,UCBV07,2,45.5,4
2,UCBV07,2,69,19
2,UCBV07,2,68,11.5
2,UCBV07,2,51.5,9.5
2,UCBV07,3,40,17.5
2,UCBV07,3,24.5,23.5
2,UCBV07,3,67.5,11.5
2,UCBV07,3,20,27
2,UCBV07,3,49,2
2,UCBV17,1,12.5,16
2,UCBV17,1,4,13.5
2,UCBV17,1,24,9.5
2,UCBV17,1,5,10.5
2,UCBV17,1,12.5,8.5
2,UCBV17,2,8.5,4.5
2,UCBV17,2,3.5,20
2,UCBV17,2,9.5,1.5
2,UCBV17,2,10.5,9.5
2,UCBV17,2,11,3
2,UCBV17,3,8,1
2,UCBV17,3,16,4
2,UCBV17,3,4.5,3.5
2,UCBV17,3,9.5,2.5
2,UCBV17,3,6.5,5
2,UCBV38,1,40,53
2,UCBV38,1,42,88
2,UCBV38,1,20,131
2,UCBV38,1,60.5,41.5
2,UCBV38,1,41.5,22
2,UCBV38,2,26,138
2,UCBV38,2,19,33.5
2,UCBV38,2,32.5,97
2,UCBV38,2,19,63.5
2,UCBV38,2,42,8
2,UCBV38,3,4,17.5
2,UCBV38,3,1,71.5
2,UCBV38,3,1.5,14.5
2,UCBV38,3,2,10.5
2,UCBV38,3,1.5,72.5
2,UCBV97,1,27,14.5
2,UCBV97,1,24,14.5
2,UCBV97,1,16.5,27.5
2,UCBV97,1,18.5,3.5
2,UCBV97,1,6.5,2.5
2,UCBV97,2,19,2.5
2,UCBV97,2,16.5,2
2,UCBV97,2,16.5,2.5
2,UCBV97,2,18,3
2,UCBV97,2,28.5,1
2,UCBV97,3,5.5,1
2,UCBV97,3,6.5,1
2,UCBV97,3,3,3.5
2,UCBV97,3,13.5,3
2,UCBV97,3,14.5,3
2,UCBV101,1,4,4.5
2,UCBV101,1,7,1.5
2,UCBV101,1,6.5,1
2,UCBV101,1,11.5,0
2,UCBV101,1,1.5,0
2,UCBV101,2,10,1.5
2,UCBV101,2,29,1
2,UCBV101,2,6,0.5
2,UCBV101,2,2.5,0
2,UCBV101,2,1.5,0
2,UCBV101,3,5.5,0.5
2,UCBV101,3,1.5,0.5
2,UCBV101,3,8,0
2,UCBV101,3,5,0
2,UCBV101,3,1,0
2,UCBV133,1,64,39
2,UCBV133,1,14.5,7.5
2,UCBV133,1,38.5,5.5
2,UCBV133,1,43.5,6
2,UCBV133,1,95,6.5
2,UCBV133,2,31.5,17
2,UCBV133,2,62,34
2,UCBV133,2,38,22.5
2,UCBV133,2,35,14.5
2,UCBV133,2,22.5,11
2,UCBV133,3,30,63.5
2,UCBV133,3,15,63.5
2,UCBV133,3,12.5,63
2,UCBV133,3,4.5,4
2,UCBV133,3,16,10
3,UCBV03,1,101,73.5
3,UCBV03,1,122.5,12
3,UCBV03,1,70,59.5
3,UCBV03,1,137,87.5
3,UCBV03,1,90,
3,UCBV03,2,25.5,20
3,UCBV03,2,21,8
3,UCBV03,2,24,20.5
3,UCBV03,2,35,1.5
3,UCBV03,2,45.5,
3,UCBV03,3,13,73.5
3,UCBV03,3,18,36.5
3,UCBV03,3,11.5,8
3,UCBV03,3,4,41
3,UCBV03,3,26.5,
3,UCBV05,1,25.5,1
3,UCBV05,1,21,4.5
3,UCBV05,1,24,0.5
3,UCBV05,1,35,2.5
3,UCBV05,1,45.5,
3,UCBV05,2,141,10
3,UCBV05,2,85,5.5
3,UCBV05,2,49,3.5
3,UCBV05,2,62,11
3,UCBV05,2,0,
3,UCBV05,3,84,9
3,UCBV05,3,149,15.5
3,UCBV05,3,125.5,15
3,UCBV05,3,142.5,4.5
3,UCBV05,3,72,
3,UCBV06,1,123,12.5
3,UCBV06,1,74,8
3,UCBV06,1,49.5,58
3,UCBV06,1,48,32.5
3,UCBV06,1,64,
3,UCBV06,2,64.5,18.5
3,UCBV06,2,59,18
3,UCBV06,2,116.5,13.5
3,UCBV06,2,50.5,17.5
3,UCBV06,2,27,
3,UCBV06,3,50,76.5
3,UCBV06,3,76,50.5
3,UCBV06,3,74,9.5
3,UCBV06,3,176.5,67.5
3,UCBV06,3,60.5,
3,UCBV07,1,18,83
3,UCBV07,1,40,20.5
3,UCBV07,1,52,9.5
3,UCBV07,1,55,67.5
3,UCBV07,1,41,
3,UCBV07,2,39,4
3,UCBV07,2,45,4
3,UCBV07,2,40.5,3.5
3,UCBV07,2,64,2
3,UCBV07,2,59,
3,UCBV07,3,42.5,151.5
3,UCBV07,3,49,17.5
3,UCBV07,3,72,26
3,UCBV07,3,80.5,10
3,UCBV07,3,26,
3,UCBV17,1,39,69.5
3,UCBV17,1,13.5,6.5
3,UCBV17,1,22.5,3
3,UCBV17,1,12,53.5
3,UCBV17,1,27.5,
3,UCBV17,2,37.5,6
3,UCBV17,2,16.5,115
3,UCBV17,2,13,1
3,UCBV17,2,25.5,2.5
3,UCBV17,2,14.5,
3,UCBV17,3,21,4
3,UCBV17,3,16.5,1.5
3,UCBV17,3,6,1.5
3,UCBV17,3,18,11
3,UCBV17,3,6.5,
3,UCBV38,1,86.5,20.5
3,UCBV38,1,63,98
3,UCBV38,1,23,205.5
3,UCBV38,1,23.5,164
3,UCBV38,1,52,
3,UCBV38,2,26,19
3,UCBV38,2,39.5,155.5
3,UCBV38,2,58,31
3,UCBV38,2,52.5,62
3,UCBV38,2,101.5,
3,UCBV38,3,42.5,148
3,UCBV38,3,23.5,132.5
3,UCBV38,3,48,16
3,UCBV38,3,35.5,42.5
3,UCBV38,3,25.5,
3,UCBV97,1,15.5,0
3,UCBV97,1,7,1.5
3,UCBV97,1,3.5,2
3,UCBV97,1,9.5,5.5
3,UCBV97,1,9.5,
3,UCBV97,2,6,1
3,UCBV97,2,2.5,0.5
3,UCBV97,2,14.5,1
3,UCBV97,2,5,2.5
3,UCBV97,2,2.5,
3,UCBV97,3,9.5,2.5
3,UCBV97,3,1,1.5
3,UCBV97,3,12,0
3,UCBV97,3,15,0
3,UCBV97,3,31.5,
3,UCBV101,1,44.5,0.5
3,UCBV101,1,113.5,0
3,UCBV101,1,19.5,0
3,UCBV101,1,23.5,2.5
3,UCBV101,1,56,
3,UCBV101,2,41.5,2.5
3,UCBV101,2,44,0
3,UCBV101,2,73,0
3,UCBV101,2,30,7
3,UCBV101,2,8,
3,UCBV101,3,6,5.5
3,UCBV101,3,10,0
3,UCBV101,3,6,0
3,UCBV101,3,21,0
3,UCBV101,3,5,
3,UCBV133,1,37,12.5
3,UCBV133,1,34.5,7
3,UCBV133,1,44.5,21
3,UCBV133,1,15.5,9
3,UCBV133,1,30.5,
3,UCBV133,2,92.5,79.5
3,UCBV133,2,44,22
3,UCBV133,2,70,98.5
3,UCBV133,2,64,26
3,UCBV133,2,96,
3,UCBV133,3,58.5,18
3,UCBV133,3,42,55.5
3,UCBV133,3,27,14.5
3,UCBV133,3,58,55.5
3,UCBV133,3,92.5,
3,7+17,1,15,1
3,7+17,1,50,7.5
3,7+17,1,10,3.5
3,7+17,1,37.5,1.5
3,7+17,1,23.5,
3,7+17,2,18,27
3,7+17,2,26,14
3,7+17,2,5.5,27
3,7+17,2,16.5,5
3,7+17,2,15,
3,7+17,3,25,
3,7+17,3,22.5,
3,7+17,3,51,
3,7+17,3,19.5,
3,7+17,3,16.5,
3,133+7,1,23.5,4.5
3,133+7,1,29.5,9
3,133+7,1,21.5,4.5
3,133+7,1,12,2.5
3,133+7,1,38.5,
3,133+7,2,23,12.5
3,133+7,2,7.5,6.5
3,133+7,2,5,5
