study,trat,rep,leaf,dai,sev
1,UCBV03,1,1,4,1
1,UCBV03,1,2,4,3
1,UCBV03,1,3,4,3
1,UCBV03,1,4,4,3
1,UCBV03,2,1,4,2
1,UCBV03,2,2,4,2
1,UCBV03,2,3,4,2
1,UCBV03,2,4,4,2
1,UCBV03,3,1,4,5
1,UCBV03,3,2,4,3
1,UCBV03,3,3,4,2
1,UCBV03,3,4,4,3
1,UCBV03,4,1,4,2
1,UCBV03,4,2,4,3
1,UCBV03,4,3,4,3
1,UCBV03,4,4,4,3
1,UCBV03,5,1,4,2
1,UCBV03,5,2,4,2
1,UCBV03,5,3,4,2
1,UCBV03,5,4,4,4
1,UCBV03,6,1,4,1
1,UCBV03,6,2,4,1
1,UCBV03,6,3,4,2
1,UCBV03,6,4,4,2
1,UCBV05,1,1,4,3
1,UCBV05,1,2,4,4
1,UCBV05,1,3,4,4
1,UCBV05,1,4,4,5
1,UCBV05,2,1,4,3.5
1,UCBV05,2,2,4,5
1,UCBV05,2,3,4,4
1,UCBV05,2,4,4,5.5
1,UCBV05,3,1,4,2
1,UCBV05,3,2,4,2
1,UCBV05,3,3,4,1
1,UCBV05,3,4,4,2
1,UCBV05,4,1,4,0.5
1,UCBV05,4,2,4,0.5
1,UCBV05,4,3,4,0.5
1,UCBV05,4,4,4,0.5
1,UCBV05,5,1,4,3
1,UCBV05,5,2,4,3
1,UCBV05,5,3,4,2.5
1,UCBV05,5,4,4,2.5
1,UCBV05,6,1,4,0.1
1,UCBV05,6,2,4,0.1
1,UCBV05,6,3,4,1
1,UCBV05,6,4,4,2
1,UCBV06,1,1,4,1.5
1,UCBV06,1,2,4,1
1,UCBV06,1,3,4,2.5
1,UCBV06,1,4,4,2
1,UCBV06,2,1,4,1.5
1,UCBV06,2,2,4,2
1,UCBV06,2,3,4,3.5
1,UCBV06,2,4,4,2.5
1,UCBV06,3,1,4,NA
1,UCBV06,3,2,4,NA
1,UCBV06,3,3,4,NA
1,UCBV06,3,4,4,NA
1,UCBV06,4,1,4,1
1,UCBV06,4,2,4,1
1,UCBV06,4,3,4,2.5
1,UCBV06,4,4,4,2
1,UCBV06,5,1,4,5
1,UCBV06,5,2,4,1.5
1,UCBV06,5,3,4,3.5
1,UCBV06,5,4,4,2
1,UCBV06,6,1,4,4
1,UCBV06,6,2,4,3
1,UCBV06,6,3,4,5
1,UCBV06,6,4,4,3
1,UCBV07,1,1,4,1
1,UCBV07,1,2,4,1
1,UCBV07,1,3,4,1
1,UCBV07,1,4,4,1
1,UCBV07,2,1,4,0.5
1,UCBV07,2,2,4,1
1,UCBV07,2,3,4,1
1,UCBV07,2,4,4,0.5
1,UCBV07,3,1,4,0.5
1,UCBV07,3,2,4,0.1
1,UCBV07,3,3,4,0.5
1,UCBV07,3,4,4,1
1,UCBV07,4,1,4,0.1
1,UCBV07,4,2,4,0.1
1,UCBV07,4,3,4,3
1,UCBV07,4,4,4,2
