tratamento,codes,time_dai,rep,leaf,sev
UCBV01,pseud 3,8,1,1,1.637756
UCBV01,pseud 3,8,1,2,2.657162
UCBV01,pseud 3,8,1,3,
UCBV01,pseud 3,8,1,4,11.06232
UCBV01,pseud 3,8,2,1,48.37356
UCBV01,pseud 3,8,2,2,38.25398
UCBV01,pseud 3,8,2,3,13.9304
UCBV01,pseud 3,8,2,4,
UCBV01,pseud 3,8,3,1,
UCBV01,pseud 3,8,3,2,
UCBV01,pseud 3,8,3,3,
UCBV01,pseud 3,8,3,4,
UCBV01,pseud 3,8,4,1,
UCBV01,pseud 3,8,4,2,
UCBV01,pseud 3,8,4,3,
UCBV01,pseud 3,8,4,4,
UCBV07,chloro 1,8,1,1,
UCBV07,chloro 1,8,1,2,
UCBV07,chloro 1,8,1,3,
UCBV07,chloro 1,8,1,4,1.262319
UCBV07,chloro 1,8,2,1,15.92965
UCBV07,chloro 1,8,2,2,54.19097
UCBV07,chloro 1,8,2,3,
UCBV07,chloro 1,8,2,4,
UCBV07,chloro 1,8,3,1,3.69177
UCBV07,chloro 1,8,3,2,6.067759
UCBV07,chloro 1,8,3,3,4.325225
UCBV07,chloro 1,8,3,4,1.328299
UCBV07,chloro 1,8,4,1,2.434532
UCBV07,chloro 1,8,4,2,0.989477
UCBV07,chloro 1,8,4,3,1.333494
UCBV07,chloro 1,8,4,4,6.293887
UCBV09,rosea 4,8,1,1,
UCBV09,rosea 4,8,1,2,
UCBV09,rosea 4,8,1,3,
UCBV09,rosea 4,8,1,4,
UCBV09,rosea 4,8,2,1,
UCBV09,rosea 4,8,2,2,
UCBV09,rosea 4,8,2,3,
UCBV09,rosea 4,8,2,4,
UCBV09,rosea 4,8,3,1,24.27963
UCBV09,rosea 4,8,3,2,16.79605
UCBV09,rosea 4,8,3,3,
UCBV09,rosea 4,8,3,4,10.647
UCBV09,rosea 4,8,4,1,
UCBV09,rosea 4,8,4,2,
UCBV09,rosea 4,8,4,3,
UCBV09,rosea 4,8,4,4,
UCBV97,rosea 1,8,1,1,
UCBV97,rosea 1,8,1,2,26.18286
UCBV97,rosea 1,8,1,3,
UCBV97,rosea 1,8,1,4,1.064709
UCBV97,rosea 1,8,2,1,
UCBV97,rosea 1,8,2,2,
UCBV97,rosea 1,8,2,3,17.36342
UCBV97,rosea 1,8,2,4,0.582002
UCBV97,rosea 1,8,3,1,7.948397
UCBV97,rosea 1,8,3,2,3.601911
UCBV97,rosea 1,8,3,3,3.723272
UCBV97,rosea 1,8,3,4,8.740419
UCBV97,rosea 1,8,4,1,9.603381
UCBV97,rosea 1,8,4,2,4.956351
UCBV97,rosea 1,8,4,3,7.60578
UCBV97,rosea 1,8,4,4,10.60299
UCBV114,roger 2,8,1,1,
UCBV114,roger 2,8,1,2,25.93691
UCBV114,roger 2,8,1,3,
UCBV114,roger 2,8,1,4,
UCBV114,roger 2,8,2,1,
UCBV114,roger 2,8,2,2,
UCBV114,roger 2,8,2,3,10.2074
UCBV114,roger 2,8,2,4,
UCBV114,roger 2,8,3,1,
UCBV114,roger 2,8,3,2,
UCBV114,roger 2,8,3,3,
UCBV114,roger 2,8,3,4,8.313821
UCBV114,roger 2,8,4,1,3.706706
UCBV114,roger 2,8,4,2,16.26122
UCBV114,roger 2,8,4,3,
UCBV114,roger 2,8,4,4,
UCBV132,rhiz 3,8,1,1,
UCBV132,rhiz 3,8,1,2,
UCBV132,rhiz 3,8,1,3,
UCBV132,rhiz 3,8,1,4,
UCBV132,rhiz 3,8,2,1,
UCBV132,rhiz 3,8,2,2,
UCBV132,rhiz 3,8,2,3,
UCBV132,rhiz 3,8,2,4,
UCBV132,rhiz 3,8,3,1,25.62671
UCBV132,rhiz 3,8,3,2,
UCBV132,rhiz 3,8,3,3,
UCBV132,rhiz 3,8,3,4,11.95277
UCBV132,rhiz 3,8,4,1,
UCBV132,rhiz 3,8,4,2,37.7481
UCBV132,rhiz 3,8,4,3,3.683362
UCBV132,rhiz 3,8,4,4,
UCBV133,rosea 2,8,1,1,
UCBV133,rosea 2,8,1,2,18.07788
UCBV133,rosea 2,8,1,3,5.317754
UCBV133,rosea 2,8,1,4,8.303255
UCBV133,rosea 2,8,2,1,10.70547
UCBV133,rosea 2,8,2,2,8.536282
UCBV133,rosea 2,8,2,3,3.866245
UCBV133,rosea 2,8,2,4,3.263284
UCBV133,rosea 2,8,3,1,12.81145
UCBV133,rosea 2,8,3,2,15.225
UCBV133,rosea 2,8,3,3,10.71144
UCBV133,rosea 2,8,3,4,10.10215
UCBV133,rosea 2,8,4,1,7.943451
UCBV133,rosea 2,8,4,2,
UCBV133,rosea 2,8,4,3,
UCBV133,rosea 2,8,4,4,11.61138
FUNG,FUNG,8,1,1,
FUNG,FUNG,8,1,2,0.409276
FUNG,FUNG,8,1,3,0.146118
FUNG,FUNG,8,1,4,0.311713
FUNG,FUNG,8,2,1,0.33427
FUNG,FUNG,8,2,2,0.31114
FUNG,FUNG,8,2,3,2.047783
FUNG,FUNG,8,2,4,0.542632
FUNG,FUNG,8,3,1,0.59279
FUNG,FUNG,8,3,2,0.517635
FUNG,FUNG,8,3,3,0.509188
FUNG,FUNG,8,3,4,0.07006
FUNG,FUNG,8,4,1,11.77385
FUNG,FUNG,8,4,2,2.045671
FUNG,FUNG,8,4,3,3.377257
FUNG,FUNG,8,4,4,1.076734
UCBV06,rhiz 1,8,1,1,16.23274
UCBV06,rhiz 1,8,1,2,12.12247
UCBV06,rhiz 1,8,1,3,7.257082
UCBV06,rhiz 1,8,1,4,4.602519
UCBV06,rhiz 1,8,2,1,
UCBV06,rhiz 1,8,2,2,
UCBV06,rhiz 1,8,2,3,
UCBV06,rhiz 1,8,2,4,2.42982
UCBV06,rhiz 1,8,3,1,1.586264
UCBV06,rhiz 1,8,3,2,
UCBV06,rhiz 1,8,3,3,
UCBV06,rhiz 1,8,3,4,3.517559
UCBV06,rhiz 1,8,4,1,
UCBV06,rhiz 1,8,4,2,
UCBV06,rhiz 1,8,4,3,6.016971
UCBV06,rhiz 1,8,4,4,1.299077
UCBV01,pseud 3,8,1,1,
UCBV01,pseud 3,8,1,2,
